job_title,company,job_location,post_date,extract_date,job_description,job_salary
Data Scientist,The Linde Group,"Tonawanda, NY",30+ days ago,2022-04-25,"Linde also delivers state-of-the-art gas processing solutions to support customer expansion, efficiency improvements and emissions reductions.",
Data Scientist - Marketing - Remote,"Infinity Consulting Solutions, Inc.","Remote in New York, NY 10011",5 days ago,2022-04-25,"Excellent communication skills, including data visualization.
You will build sophisticated data products and develop machine learning models that strengthen our…",
"Data Science Strategist, Transparency",Facebook App,"New York, NY+31 locations",2 days ago,2022-04-25,"Partner cross-functionally with the product, data science, data engineering and policy teams to access & understand tools and data sets, and the partnerships…",
Senior Data Analyst II,Buoy Health,"Remote in New York, NY",21 days ago,2022-04-25,"3-5 years of data analytics experience.
Motivated to tell stories through compelling data points and visualizations.
Bonus points if you have:",
Data Analyst,Netomi,"New York, NY",12 days ago,2022-04-25,"Ensure data cleanliness, aligning data sets to stakeholder objectives for reporting & analysis.
Integrate multiple 1st and 3rd party APIs & data sources into…",
Data Scientist,Healthcare Risk Advisors,"New York, NY 10120 (Chelsea area)",3 days ago,2022-04-25,"Experience with data science and machine learning platforms preferred (H2O, Databricks, Alteryx, etc.).
Data Scientist must have strong statistical as well as…",
Data Scientist,Rogo,"New York, NY+1 location",30+ days ago,2022-04-25,"Rogo is looking for data scientists to help our financial services clients uncover differentiated insights using data sources as varied as market data,…",
"VP, Data Science",Nielsen,"New York, NY",30+ days ago,2022-04-25,"Experience of work with large enterprise data systems and cloud platforms.
Proven track record of design and implementation of data pipelines.",
Data Engineer,MSCI Inc,"Hybrid remote in New York, NY",4 days ago,2022-04-25,Implement a layered architecture to enable self-service business intelligence and data science initiatives while maintaining query performance.,
Statistician,Precision Consulting,"Remote in New York, NY",30+ days ago,2022-04-25,"All statisticians must have or be actively pursuing graduate degrees in statistics, applied math, data analytics, or a similar field as well as relevant…",
Data Scientist (Product Analyst),Cedar Inc,"New York, NY",30+ days ago,2022-04-25,"Cedar is a patient payment and engagement platform that leverages data science, consumer-centric design and technology to improve the healthcare experience for…",
Sr. Data Analyst,Diligent Corporation,"Remote in New York, NY",6 days ago,2022-04-25,"Structure large data sets for analysis.
Deploy the analytics lifecycle, from discovery and data preparation through the operationalization of reports and…",
"Data Scientist - Advertiser Behavior Analytics, Advertiser B...",Amazon.com Services LLC,"New York, NY+18 locations",4 days ago,2022-04-25,"Analyze historical data to identify trends and support optimal decision making.
Apply statistical and machine learning knowledge to specific business problems…",
LATAM Markets Data Analyst,Citi,"New York, NY+1 location",17 days ago,2022-04-25,"Liaise between the business and multiple data repositories to understand our data architecture and lineage.
Design and manage a data use case project pipeline…",
(Jr) Quantitative Analyst / Data Scientist,TrueChoice Solutions,"Remote in Vienna, NY",30+ days ago,2022-04-25,"Support the organization on all projects and tasks related to analytics, quantitative analyses and data science.
Develop client-facing analytics dashboards.",
"Senior Software Engineer, Data Science Infrastructure","Bluecore, Inc.","Remote in New York, NY 10002+1 location",30+ days ago,2022-04-25,"Work cross-functionally with product managers, data scientists, and engineers to deliver high quality products.",
"Data Analyst, Risk",Current,"New York, NY 10011 (Chelsea area)",30+ days ago,2022-04-25,"3-5 years of experience in Risk or data science for Risk Associate.
1-3 years of progressive experience in Risk or data science for Risk Analyst.",
Senior Data Analyst,Weber Shandwick,"Remote in New York, NY 10022",30+ days ago,2022-04-25,"Build data pipelines and deploy data integration solutions.
Work with data providers, client data owners and design teams to create the technical specifications…",
Data Scientist (Analytics),Quartet Health,"Remote in New York, NY",30+ days ago,2022-04-25,"Health data experience is a plus.
Support a data-informed process for experimenting with new products or operational workflows to improve patient outcomes.",
Sales Development Representative (ML/AI/Data Science),Pachyderm,"Remote in New York, NY 10018",25 days ago,2022-04-25,"Our system, developed with open source roots, shifts the paradigm of data science workflows by providing reproducibility, data provenance, and opportunity for…",
Director Data Science,Discovery Communications,"New York, NY 10022 (Turtle Bay area)",5 days ago,2022-04-25,"Identify appropriate data science solutions as new data-centric business queries arise.
Agree on project deliverable timelines with data science team & relevant…",
Data Analyst - Life Sciences,Capgemini,"New York, NY+2 locations",14 days ago,2022-04-25,"Minimum of 2 years working experience in technical data analysis, data science, or data warehousing with proven business analysis experience.",
Lead Data Scientist,Hearst Media Services,"New York, NY 10019 (Midtown area)",6 days ago,2022-04-25,"Within this group, our data team manages a vast data pipeline and data warehouse that supports business intelligence, data science, and data products for Hearst…",
Data Engineer,Attune,"Remote in New York, NY 10028",30+ days ago,2022-04-25,"3+ years experience in analytics, data science, or data engineering role.
Understand and answer questions on the data our team maintains.",
Data Scientist,TECHSTRA SOLUTIONS,"New York, NY",30+ days ago,2022-04-25,"Create a new experience for the target by applying the data, your imagination and technology.
Assist in the development of services that will use data to create…",
"Director, Data Science",Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",24 days ago,2022-04-25,"10+ years of industry experience in an evolving leadership role, significant AI/ML work, and experience managing a mature data science team.",
"Product Manager, Healthcare - Kyber Data Science",Cowen,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience developing data products with user friendly interfaces, preferably with healthcare data or for investors.",
"Data Scientist, Data and Analytics",Precision,"New York, NY 10036 (Midtown area)",EmployerActive 3 days ago,2022-04-25,"Discover patterns, themes and trends in data.
Support development of proprietary data tools and platforms.
Experience and passion for research and data analysis…",
Senior Data Analyst,DataDog,"New York, NY",30+ days ago,2022-04-25,"Run deep data analyses and investigations.
Experienced in working with large customer and product data.
This will involve answering data questions from Customer…",
Data Scientist,TECHSTRA SOLUTIONS,"New York, NY",30+ days ago,2022-04-25,"Create a new experience for the target by applying the data, your imagination and technology.
Assist in the development of services that will use data to create…",
"Director, Data Science",Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",24 days ago,2022-04-25,"10+ years of industry experience in an evolving leadership role, significant AI/ML work, and experience managing a mature data science team.",
"Product Manager, Healthcare - Kyber Data Science",Cowen,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience developing data products with user friendly interfaces, preferably with healthcare data or for investors.",
"Data Scientist, Data and Analytics",Precision,"New York, NY 10036 (Midtown area)",EmployerActive 3 days ago,2022-04-25,"Discover patterns, themes and trends in data.
Support development of proprietary data tools and platforms.
Experience and passion for research and data analysis…",
Senior Data Analyst,DataDog,"New York, NY",30+ days ago,2022-04-25,"Run deep data analyses and investigations.
Experienced in working with large customer and product data.
This will involve answering data questions from Customer…",
"Senior Risk Data Analyst, Trust and Safety",Google,"New York, NY (Chelsea area)",30+ days ago,2022-04-25,"Improve tools through data analysis, technical expertise, and presentations to key stakeholders.
Perform data analyses to derive insights that help to identify…",
[Remote] Senior Data Science Consultant,Mostly AI,"Remote in New York, NY",30+ days ago,2022-04-25,"A solid data science skillset (Pandas, R, etc.).
Pre-process data and pipe data into the MOSTLY AI Synthetic Data Platform.",
Data Scientist,Tektree,"New York, NY",30+ days ago,2022-04-25,"Experience with data visualization tools.
Partner with our client’s leadership teams, engineers, program managers and data analysts to understand data needs.",
Senior Data Analyst US,Adikteev,"New York, NY",30+ days ago,2022-04-25,"Provide data reports, analytic insights and clear data visualizations for internal (Account Management, Sales, Marketing, Product, …) and external clients.",
Senior Data Scientist,SecurityScorecard,"Remote in New York, NY",1 day ago,2022-04-25,"You'll use a typical data science Python-based stack and a variety of machine learning and statistical analysis methods.
Ability to work cross-functionally.",
Data Engineer,The Flatiron School,"Remote in New York, NY 10004",30+ days ago,2022-04-25,"3+ years as a Data Engineer with experience with schema design, data models, data lake technology and data analysis.",
Senior Data Scientist,Braavo Capital,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"Using data, integrations, and automation, Braavo's predictive technology delivers performance-based funding for mobile app businesses on-demand, without…",
Risk Data Scientist,Millennium Management LLC,"New York, NY+1 location",3 days ago,2022-04-25,"Develop and implement tools and workflows, in collaboration with Market Risk Technology, for efficient monitoring of risk data quality, exception handling, and…",
Data & AI Specialist,Microsoft,"New York, NY",30+ days ago,2022-04-25,You will work with customers to leverage data to help them achieve their business priorities and help guide customer’s journey through Analytics-led Azure Data…,
Senior Data Scientist,"Bluecore, Inc.","Remote in New York, NY 10002",30+ days ago,2022-04-25,"The ideal candidate is one that has several years of experience researching, building, serving, and maintaining data science models at scale.",
Equity Research Analyst/Associate- Semiconductors,Bank of America,"New York, NY+1 location",Just posted,2022-04-25,"Knowledge of statistics and/or data analytics/data science techniques a plus.
Derive key insights from data trends and analysis.",
Data Engineer,DataDog,"New York, NY",10 days ago,2022-04-25,"You enjoy wrangling huge amounts of data and exploring new data sets.
You have built and operated data pipelines for real customers in production systems.",
Director - Data Science,Amex,"New York, NY",30+ days ago,2022-04-25,"Experience leading decision science teams with proven understanding of card economics.
Fast learner who is data-driven and outcome-focused.",
Healthcare Data Research Analyst,"Cowen, Inc","Remote in New York, NY",30+ days ago,2022-04-25,"Experience using data in the research process, especially Rx script data, claims data or similar sources.
Demonstrate how to use data to model company-reported…",
"Senior Data Science Manager | Credit, Fraud & Pricing",Ramp,"Remote in New York, NY 10018",30+ days ago,2022-04-25,"Minimum 2 years of data science management management experience.
Familiarity with MLOps/infra required to support data science product solutions.",
Data Scientist,wepay,"New York, NY",16 days ago,2022-04-25,"3+ years experience doing quantitative data analysis, ideally in online payments industry.
Implement processes and build tools to make data access, extraction…",
"Principal, Data Science/Analytics",Splunk,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"10 + years of pricing, finance, data science or analytics heavy roles; 2 + years of experience managing a team.
Provide analysis of ad hoc strategic questions.",
Data Engineer (All-Levels) - Feedback/DSOps,Socure,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"You have strong previous experience in data engineering, software engineering, data science or research.
Collaborate with data scientists, engineers, product…",
Data Scientist,Recruitics,"New York, NY",11 days ago,2022-04-25,"Repeatable data science process and workflow.
Possess experience delivering multiple data science projects and machine learning.",
Senior Data Analyst,Rochester Institute of Technology,"Rochester, NY 14623",Just posted,2022-04-25,"5+ years of professional data analytics experience.
Demonstrated experience in querying, cleaning and transforming large data sets.",
Data Analyst,Rensselaer Polytechnic Institute,"Troy, NY 12180 (The Hill area)",EmployerActive 12 days ago,2022-04-25,"Excellent data evaluation skills and the ability to extract and interpret data from a variety of sources.
Experience with student assessment, data tracking and…",
"DVP, Advanced Analytics & Data Science",SAKS OFF 5TH.COM,"New York, NY",18 days ago,2022-04-25,"10+ years’ experience in analytics, data mining, data science, database marketing.
In addition, this position will liaise with Data Engineering and peer…",
Data Scientist For Real Estate Company,"Marble Key Realty, LLC","Watertown, NY",24 days ago,2022-04-25,"Python, R, SAS, and SQL (or some form of data wrangling).
Performance-based bonuses are paid based on the company hitting their goals.",
"Data/Back, End Engineer, Analytics Platform",Spotify,"Remote in New York, NY+2 locations",18 days ago,2022-04-25,"The ‘Analytics’ team build tools to help data practitioners effectively leverage Spotify’s data into useful insights.
You have experience with Python.",
Senior Data Scientist,Pure Insurance,"White Plains, NY",30+ days ago,2022-04-25,"Work on enhancing knowledge and skills to maintain an edge in data science.
Discover patterns in data and create solutions/constructs/tools through advanced…",
Data Scientist,Array,"Remote in New York, NY",30+ days ago,2022-04-25,"You will use data science to help improve adoption and usage of our existing products and create new products.
100% 401k match with immediate vesting.",
"Senior Manager, Data Science",SiriusXM,"Remote in New York, NY 10020+2 locations",Just posted,2022-04-25,"We seek an individual with strong data management, data engineering and statistical skills.
Perform data exploration and analysis to determine coverage of new…",
Research and Data Analyst-On-Call/Temporary,"Culmen International, LLC","New York, NY 10065 (Upper East Side area)",EmployerActive 4 days ago,2022-04-25,The Analyst will leverage existing data within UNDP and seek new data sources to better inform decisions and policies.,
Data Scientist,Cadre,"New York, NY",30+ days ago,2022-04-25,Research traditional and non-traditional commercial real estate data sources to integrate into various models.,
"Director, Analytics & Data Science",PMX Agency,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"To be able to translate data science findings in a client-facing environment.
Ability to look at the bigger picture and translate data into strategy.",
"Analyst, Data and Insights (Engagement)",The New York Times,"New York, NY",30+ days ago,2022-04-25,"Democratize data and insights through skillful data structuring and use of visualization tools.
Collaborate with data science and engineering to bring to life…",
Data Scientist,Caden,"New York, NY 10013 (Tribeca area)",30+ days ago,2022-04-25,"Hands-on experience using modern big data pipeline.
Apply advanced machine learning, data mining, statistical methods, algorithms, and time series models to…",
Pricing and Promotion Data Scientist II,Levi Strauss & Co.,Remote in New York State,30+ days ago,2022-04-25,Partner with team members across the organization to identify opportunities to use our data to serve our pricing and promotion strategy.,
Data Visualization Manager,Discovery Communications,"New York, NY 10022 (Turtle Bay area)",5 days ago,2022-04-25,"We are an in-house data product team working with big data, including analytics, smart tv data and MMPs to measure billions of media impressions weekly.",
"Staff Software Engineering, Data Science",Zscaler,"New York, NY",5 days ago,2022-04-25,"Bachelor or Master's Degree in Computer Science required, data science concentration is a plus; PhD is preferred.",
Business Intelligence Analyst,Murmuration,"New York, NY 10005 (Financial District area)",10 days ago,2022-04-25,"Experience partnering with business, engineering, and data science teams to deliver data-driven insights and translating those into product development or…",
Data Scientist - Global Health,System,"New York, NY 10017 (Tudor City area)",30+ days ago,2022-04-25,Collaborate with researchers and data scientists in global health to design and build better ways of linking data and knowledge.,
Senior Data Scientist,Pure Insurance,"White Plains, NY",30+ days ago,2022-04-25,"Work on enhancing knowledge and skills to maintain an edge in data science.
Discover patterns in data and create solutions/constructs/tools through advanced…",
Research Engineer - Machine Learning,NYU Langone Health,"New York, NY 10016 (Gramercy area)+3 locations",2 days ago,2022-04-25,"You will be responsible for data collection and analysis of large data sets.
Masters degree in Engineering or Science (Biomedical engineering, bioengineering,…",
Data Management Assistant,Campus Election Engagement Project (CEEP),"Remote in New York, NY",7 days ago,2022-04-25,Participate in the development and maintenance of organization-wide databases and data collection systems needed for data storage or processingPartner with…,
Sr. Data Scientist,Disney Streaming,"Remote in New York, NY",2 days ago,2022-04-25,"Familiar with metadata management, data lineage, and principles of data governance.
MVP development: Develop innovative data science products to be used for new…",
Research Analyst,New York University,"Brooklyn, NY",30+ days ago,2022-04-25,"US Spanish language political and cultural public discourse and working with the data science.
Candidates must have a Bachelor’s Degree or higher in a liberal…",
Data Analyst,S&P Global,"New York, NY",30+ days ago,2022-04-25,"Analyze data to support data-driven decision making.
A critical function of the Data Strategy team is to ingest third-party data and deliver high-quality inputs…",
Data Scientist,Caden,"New York, NY 10013 (Tribeca area)",30+ days ago,2022-04-25,"Hands-on experience using modern big data pipeline.
Apply advanced machine learning, data mining, statistical methods, algorithms, and time series models to…",
Data Engineer,Paxos,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Ensure data access and segregation aligns to relevant data policies.
Build data expertise and own data quality for your areas.
3+ years of SQL experience.",
Data Engineer,Altus Group,"New York, NY+1 location",4 days ago,2022-04-25,"You will contribute to the integration of new data, the improvement of existing data, and the integration of machine learning and data science efforts.",
"Sr Data Analyst, Sports Analytics",Disney Media & Entertainment Distribution,"New York, NY+1 location",2 days ago,2022-04-25,"Understanding of data warehousing concepts, design, modeling and data engineering.
Support business units, data teams and product/program management with…",
Research Scientist-Artificial Intelligence,IBM,"Yorktown Heights, NY",Today,2022-04-25,"To think along with clients and sell.
IBM is seeking a Research Scientist to work at its T. J. Watson Research Center in Yorktown Heights, NY.",
Senior Data Analyst,"Adweek, LLC","New York, NY 10016 (Gramercy area)",6 days ago,2022-04-25,Define and implement integrations between source data and data warehouse as needed to ensure data integrity and support data & reporting requirements.,
Mid/Senior Data Analyst,Reify Health (Job Market),"Remote in New York, NY",6 days ago,2022-04-25,"Comfort with modern data analytics and BI environments such as Jupyter, Dash, Quicksight, etc.
Developing clean, reusable, and testable analytical code and make…",
Senior Data Scientist,Major League Baseball,"New York, NY",13 days ago,2022-04-25,"Experience programmatically structuring and cleaning data, and not just analyzing highly cleaned data sets.
Translate business challenges into data pipelines &…",
Part-Time Assistant Research Scientist-Short Term,New York University,"New York, NY 10012 (Greenwich Village area)",30+ days ago,2022-04-25,The candidate must have a M.Sc. or equivalent degree in data science or equivalent discipline and have experience in both deep learning for breast cancer…,
"Analyst, Consumer Analytics (MiLB)",Major League Baseball,"New York, NY",30+ days ago,2022-04-25,"Proficiency in quantitative data collection and data analysis using SQL is required.
Experience with data science and statistical concepts such as regression…",
Senior Data Analyst,Northwell Health,"Syosset, NY 11791",30+ days ago,2022-04-25,"Collects, manages, and analyzes data; produces written reports; evaluates and interprets data, identifies trends and derives related conclusions; analyzes…",
Senior Data Engineer (Remote),pulseData,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience working on healthcare data is a plus!
You'll be developing, deploying, and maintaining our production pipeline.
Competitive base + bonus + equity.",
Senior Data Analyst,Rochester Institute of Technology,"Rochester, NY 14623",Just posted,2022-04-25,"5+ years of professional data analytics experience.
Demonstrated experience in querying, cleaning and transforming large data sets.",
Data Analyst - Senior Associate,COTA,"Remote in New York, NY",30+ days ago,2022-04-25,"Help improve data pipeline accuracy by using data science and/or machine learning techniques.
Strong Python data science skillset is a must.",
Senior Data Engineer & Analyst,Life House,"Remote in New York, NY",7 days ago,2022-04-25,"Perform data profiling and analysis.
Develop data ingestion modules that will feed the AI models.
Design, build, and productionize complex data pipelines.",
Data Engineer,Frontdoor,"Albany, NY 12260 (West Hill area)",3 days ago,2022-04-25,"Demonstrated strength in data modeling, ETL development, data warehousing, data pipeline and data lake creation.
Experience building data lakes in the cloud.",
Senior/Lead Data Scientist,Salesforce,"New York, NY 10036 (Garment District area)+1 location",30+ days ago,2022-04-25,Analytical thinker with a passion for using data and scientific methods to solve business problems (5+ years of experience in product analytics or data science)…,
"Product Manager, Data Science",CB Insights,"Remote in New York, NY",30+ days ago,2022-04-25,"Prior experience in a product or analytical role connected to data science.
Identify opportunities to use data science to serve customers and internal partners,…",
SENIOR DATA ANALYST,Montefiore Medical Center,"Bronx, NY 10458 (Fordham area)",30+ days ago,2022-04-25,"Develop data visualization tools to convey data in a concise, relatable manner.
Validate data between separate systems, and pinpoint sources of discrepancies to…",
Junior Quant Researcher - NLP Team,Balyasny Asset Management,"New York, NY 10022 (Upper East Side area)",12 days ago,2022-04-25,"New alternative data and/or improving existing data processing pipelines.
This role will work in an equities-focused quantitative research team that researches…",
Data Scientist - Credit Risk,Pipe Technologies,"Remote in New York, NY",30+ days ago,2022-04-25,"Be the link between the data science & risk functions, working closely with both to improve risk modeling for Pipe's revolutionary asset class.",
Data Scientist (Fully Remote) 6 Month-Contract,Harnham,"Remote in New York, NY+3 locations",10 days ago,2022-04-25,"Explain sophisticated data science concepts in an understandable manner.
Degree in computer science, applied mathematics, statistics, machine learning, or other…",
"Data Engineer, Data Platform",dv01,"Remote in New York, NY 10010",30+ days ago,2022-04-25,"This includes working closely with the structuring team to resolve scaling or functionality pain points in data processing, the modeling team to build out a…",
Staff Data Scientist - REMOTE USA,Mandiant,"Remote in New York, NY 10018",30+ days ago,2022-04-25,"Identify data sources; iterate and grow datasets over time.
Explore and analyze data; perform ad-hoc analyses to answer targeted questions.",
Data Scientist,Bank of America,"New York, NY",30+ days ago,2022-04-25,"Coordinate with Data Engineers to build data environments providing data identified by Data Analysts, Business Analysts and Product Managers.",
"Business Analyst, Claims",Amazon.com Services LLC,"New York, NY+1 location",10 days ago,2022-04-25,"5+ years of experience in analytics, business analysis, data science or similar job function.
Database and data warehouse knowledge.",
Sr Qualitative Data Analyst,Columbia University Medical Center,"Hybrid remote in New York, NY 10032",18 days ago,2022-04-25,"Assist in the analysis of qualitative data 50%.
Write-up of data analysis findings 30%.
Prior experience with ATLAS.ti or other qualitative software for the…",
Senior Data Scientist,Pure Insurance,"White Plains, NY",30+ days ago,2022-04-25,"Work on enhancing knowledge and skills to maintain an edge in data science.
Discover patterns in data and create solutions/constructs/tools through advanced…",
Sr Data Visualization Engineer - 100% remote or hybrid avail...,HealthFirst,"Remote in Staten Island, NY 10301+2 locations",19 days ago,2022-04-25,"Lead data modeling for visualization and optimize performance of dashboards and data products consuming large healthcare data sets.
Proficient in R or Python.",
"Instructor, Data Science",The Flatiron School,"Remote in New York, NY 10004",30+ days ago,2022-04-25,"2+ years of practitioner experience as a data scientist, data analyst or data engineer.
Instructors need to be comfortable guiding students through applied and…",
Senior Data Analyst – Business Intelligence & Enterprise Ana...,Shake Shack,"New York, NY 10014 (West Village area)",5 days ago,2022-04-25,"Develop and monitor KPIs to drive high-level oversight of business initiatives and company health, and develop regular insights from the data to enable…",
"Data Analyst, Risk Adjustment",Oscar Health,"Remote in New York, NY 10013",30+ days ago,2022-04-25,"Integrate external data sources from providers, vendors, and healthcare partners into existing data workflows and systems.
2+ years of SQL experience.",
Program Director Research Science - Analytics,NewYork-Presbyterian Hospital,"Hybrid remote in Manhattan, NY 10065",26 days ago,2022-04-25,"Minimum three years research experience in managing and analyzing clinical data, and proven.
Experience analyzing and interpreting data, maintaining and…",
Data Governance Technical Project Manager,IBM,"New York, NY 10001 (Chelsea area)",3 days ago,2022-04-25,"The person will have experience in data governance/data lineage project.
At IBM, our Project Managers excel by leading and coordinating a project team’s overall…",
Data Science Teacher,OTCFin,"New York, NY 10004 (Financial District area)",30+ days ago,2022-04-25,"O Previous teaching experience of data science courses.
O 3+ years of professional data science experience building machine learning models Python and other…",
Data Collection Specialist - Conexiones & Connections Progra,Research Foundation of The City University of New...,"New York, NY",30+ days ago,2022-04-25,"Bachelor's degree in data science or related field.
Master’s degree in data science or related field highly preferred.
Experience with psychometrics a plus.",
SENIOR DATA SCIENTIST / DATA SCIENTIST,Tellic LLC,"Water Mill, NY 11976",30+ days ago,2022-04-25,"Proficient with data visualizations (e.g. Bokeh) and using data to tell business stories.
5 yrs experience in data science/modeling/advanced machine learning…",
Customer Facing Data Scientist,Explorium,"Remote in New York, NY",30+ days ago,2022-04-25,"By automatically connecting to thousands of external data sources and leveraging machine learning to distill the most impactful signals, the Explorium platform…",
Data Scientist,Tektree,"New York, NY",30+ days ago,2022-04-25,"Experience with data visualization tools.
Partner with our client’s leadership teams, engineers, program managers and data analysts to understand data needs.",
Inventory Analyst,Kiss Products,"Port Washington, NY",13 days ago,2022-04-25,"Bachelor's degree in supply chain management, business administration, data science, or a related field.
Responsible for managing inventory and operations.",
Lead Workforce Intelligence Analyst - Data Scientist,Northwell Health,"Lake Success, NY",30+ days ago,2022-04-25,"Leads data analysis, research, and evaluation of various business processes and measures.
Guides the analysis and interpretation of data to quantifiably asses…",
Senior Data Scientist,Major League Baseball,"New York, NY",13 days ago,2022-04-25,"Experience programmatically structuring and cleaning data, and not just analyzing highly cleaned data sets.
Translate business challenges into data pipelines &…",
Data Science Manager - Life Sciences Supply Chain & Operatio...,Accenture,"New York, NY+2 locations",20 days ago,2022-04-25,At least 5 years embracing challenges with data science lifecycle in enterprise setting and storytelling with data and communicating findings to a non-technical…,
Tenure-track in data-driven geoscience,Cornell University,"Ithaca, NY 14853",30+ days ago,2022-04-25,"The successful candidate may use artificial intelligence, machine learning, or related approaches to augment their domain expertise in the Earth sciences.",
Research Scientist (Open Rank),Columbia University,"New York, NY 10027 (Manhattanville area)",30+ days ago,2022-04-25,"Contribute to one or more data science elements, such as large-scale data management, machine learning and statistics, interactive data visualization and…",
Data Analyst,Dow Jones,"New York, NY 10176 (Murray Hill area)+1 location",30+ days ago,2022-04-25,Assist our data engineering team in conjunction with our data science & analytics team to help classify our data architecture for use with various reporting…,
Data Management Associate,"Nomura Holdings, Inc.","New York, NY 10019 (Hell's Kitchen area)",30+ days ago,2022-04-25,"Technical hands-on knowledge of data science algorithms.
Understanding of various databases and platforms for data science.
Coding skills (R, Python) is plus.",
Data Analyst,StrongArm Technologies,"Brooklyn, NY",27 days ago,2022-04-25,"Utilize data monitoring tools to evaluate programs and internal data structures.
Expertise conducting data analysis that involves databases and data…",
Senior Data Scientist,Nautilus Labs,"Hybrid remote in New York, NY",12 days ago,2022-04-25,"In this role, you will be responsible for working with maritime ship and weather data to build or improve predictive models, develop and implement innovative…",
Data Scientist/Python Developer,The Accuro Group,"New York, NY",EmployerActive 7 days ago,2022-04-25,"Top 2 skills are *Python, Data Science and Machine Learning*.
Development person should be understand.
Machine learning package in python.",
Data Science Analyst II - Mount Sinai Health Partners,Mount Sinai,"New York, NY+3 locations",30+ days ago,2022-04-25,"Identifies necessary data, data sources and methodologies.
Feeds data quality issues back to IT or identified data stewards to facilitate creation of high…",
Senior Data Analyst,Paxos,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience rolling out new functionality to end users in an analytics platform (e.g. new dashboarding solution, data models or other analytical/data/reporting…",
Associate Statistician [Temporary],United Nations,"New York, NY",7 days ago,2022-04-25,"Professionalism: Ability to identify, extract, analyze and disseminate statistical data.
Assists in designing, organizing, planning and managing the collection,…",
Senior Audit Data Analyst,Ridgewood Savings Bank,"Lake Success, NY",17 days ago,2022-04-25,"Develop and lead audit analytics and data visualization efforts using data mining, pattern matching, data visualization, and predictive modelling tools and…",
Data Analytics Developer,AMERICAN PORTFOLIOS HOLDINGS INC,"Holbrook, NY 11741",30+ days ago,2022-04-25,"Understanding of machine learning and data science.
Bachelor’s degree in computer science, information technology—specialization in data science.",
Ecommerce Data Analyst,PepsiCo,"New York, NY+1 location",14 days ago,2022-04-25,"Document data access and data syndication requirements.
Research and document data sources:
Define data transformations and storage needs.",
Data Scientist - Global Health,System,"New York, NY 10017 (Tudor City area)",30+ days ago,2022-04-25,Collaborate with researchers and data scientists in global health to design and build better ways of linking data and knowledge.,
Data Science Communications Specialist,Biz2Credit Inc,"New York, NY 10119 (Chelsea area)",30+ days ago,2022-04-25,"Collaborate closely with Biz2X data science on presentations for use at conferences, client/partner meetings, career fairs and other external audiences.",
Senior Data Analyst (Public Health/Laboratory),Chickasaw Nation Industries,"Albany, NY 12223+1 location",EmployerActive 6 days ago,2022-04-25,"Knowledge of public health and social science approaches.
The candidate will also be responsible for the development of data collection strategies, aggregation,…",
Data Scientist,Whalar,"New York, NY",30+ days ago,2022-04-25,"3-5 years experience in data science or analytics in a professional technology, marketing or media environment.",
Data Engineer,Facebook App,"New York, NY+4 locations",30+ days ago,2022-04-25,"Build data expertise and own data quality for your areas.
Partner with leadership, engineers, program managers and data scientists to understand data needs.",
Machine Learning Associate,Dentsu Media,"New York, NY 10017 (Murray Hill area)",30+ days ago,2022-04-25,Design and develop both bespoke and productized data science solutions (development of deployable machine learning models) to scale our data product initiatives…,
Senior Data Scientist,DataDog,"Remote in New York, NY",27 days ago,2022-04-25,A software engineer and/or data scientist with 5+ years of experience building production applications that serve data and insights.,
Data Scientist (Fully Remote) 6 Month-Contract,Harnham,"Remote in New York, NY+3 locations",10 days ago,2022-04-25,"Explain sophisticated data science concepts in an understandable manner.
Degree in computer science, applied mathematics, statistics, machine learning, or other…",
Lead Data Science Analyst,ConnectiCare,"New York, NY+1 location",30+ days ago,2022-04-25,"Acquire data from primary and secondary sources and maintain data systems.
Develop, document and implement data controls necessary for the administration of the…",
Data Analyst - Research and Evaluation,Student Leadership Network Inc,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"Support internal analysis employing both statistical and data science methods, as well as the creation of data products for external use.",
"Director, Data Science, Index Intelligence",S&P Global,"New York, NY 10041 (Financial District area)",30+ days ago,2022-04-25,"Working knowledge of company fundamental data.
Oversee third party data used in the production and maintenance of industry related thematic indices, including…",
Associate Data Engineer,The New York Stem Cell Foundation Research...,"New York, NY",13 days ago,2022-04-25,"B.S. or M.S. computer science, engineering, data science, mathematica.
Work with both data science and software engineering teams, as well as end user…",
Senior Data Scientist,automotiveMastermind,"New York, NY",EmployerActive 13 days ago,2022-04-25,"Communicate data-driven insights and recommendations to key stakeholders.
You possess a Master of Science or PhD in a quantitative discipline (e.g., data…",
